video_frame,label,left,width,top,height
58106_002918_Sideline_1,Helmet,103,17,313,18
58106_002918_Sideline_1,Helmet,478,14,89,17
58106_002918_Sideline_1,Helmet,589,15,158,16
58106_002918_Sideline_1,Helmet,611,15,206,14
58106_002918_Sideline_1,Helmet,618,17,489,18
58106_002918_Sideline_1,Helmet,629,18,376,18
58106_002918_Sideline_1,Helmet,681,14,112,16
58106_002918_Sideline_1,Helmet,697,16,166,15
58106_002918_Sideline_1,Helmet,730,15,205,17
58106_002918_Sideline_1,Helmet,743,13,142,17
58106_002918_Sideline_1,Helmet,749,13,129,14
58106_002918_Sideline_1,Helmet,757,13,154,17
58106_002918_Sideline_1,Helmet,768,16,207,17
58106_002918_Sideline_1,Helmet,770,15,183,20
58106_002918_Sideline_1,Helmet,777,14,245,15
58106_002918_Sideline_1,Helmet,790,16,273,14
58106_002918_Sideline_1,Helmet,809,14,190,14
58106_002918_Sideline_1,Helmet,810,16,224,22
58106_002918_Sideline_1,Helmet,845,15,237,16
58106_002918_Sideline_1,Helmet,919,14,395,17
58106_002918_Sideline_1,Helmet,1035,15,170,18
58106_002918_Sideline_2,Helmet,102,17,314,17
58106_002918_Sideline_2,Helmet,478,15,89,18
58106_002918_Sideline_2,Helmet,589,15,157,16
58106_002918_Sideline_2,Helmet,610,16,206,14
58106_002918_Sideline_2,Helmet,619,17,490,16
58106_002918_Sideline_2,Helmet,630,18,376,17
58106_002918_Sideline_2,Helmet,680,15,111,17
58106_002918_Sideline_2,Helmet,697,16,166,16
58106_002918_Sideline_2,Helmet,730,16,205,17
58106_002918_Sideline_2,Helmet,743,13,143,16
58106_002918_Sideline_2,Helmet,750,11,129,14
58106_002918_Sideline_2,Helmet,756,13,154,17
58106_002918_Sideline_2,Helmet,768,16,207,17
58106_002918_Sideline_2,Helmet,769,15,185,18
58106_002918_Sideline_2,Helmet,777,14,245,15
58106_002918_Sideline_2,Helmet,791,15,273,14
58106_002918_Sideline_2,Helmet,809,13,191,13
58106_002918_Sideline_2,Helmet,811,15,224,16
